,id,address,suburb,postcode,price,propertyType,bedrooms,bathrooms,parkingSpaces,studies,furnished,latitude,longitude,min_pri_latitude,min_pri_longitude,min_sec_latitude,min_sec_longitude,min_other_latitude,min_other_longitude
16,435142451,5206/318 Russell,Melbourne,3000,750,Apartment,2,2,0,0,Y,-37.80935157,144.96679686,-37.80205,144.96951,-38.01399,145.17547,-37.80519,144.95509
17,435142419,1107/5 Sutherland Street,Melbourne,3000,450,Apartment,1,1,0,0,N,-37.81145799,144.96084673,-37.80205,144.96951,-37.74119,144.94274,-37.81654,144.95615
18,435142407,42/140 Flinders Street,Melbourne,3000,400,Apartment,1,1,0,0,N,-37.81639455,144.97034476,-37.80205,144.96951,-38.01399,145.17547,-37.81654,144.95615
19,435042283,4413/80 A'beckett Street,Melbourne,3000,410,Apartment,1,1,0,0,N,-37.80903594,144.96105282,-37.80205,144.96951,-37.74119,144.94274,-37.80519,144.95509
20,431384710,3716/228 La Trobe Street,Melbourne,3000,800,Apartment,2,2,1,0,N,-37.80977208,144.96246014,-37.80205,144.96951,-38.01399,145.17547,-37.80519,144.95509
21,435041839,1910/157 Abeckett Street,Melbourne,3000,530,Apartment,1,1,0,0,N,-37.81012056,144.95875235,-37.80205,144.96951,-37.74119,144.94274,-37.80519,144.95509
22,435141923,5403/442 Elizabeth Street,Melbourne,3000,600,Apartment,1,1,0,0,N,-37.80834504,144.9607299,-37.80205,144.96951,-37.74119,144.94274,-37.80519,144.95509
23,435141391,2002/54 A'Beckett Street,Melbourne,3000,680,Apartment,2,1,0,0,N,-37.80884596,144.96167028,-37.80205,144.96951,-37.74119,144.94274,-37.80519,144.95509
26,435141259,2510/568 Collins Street,Melbourne,3000,540,Apartment,2,1,0,0,N,-37.81846898,144.95547106,-37.82935,144.9535,-37.74119,144.94274,-37.81654,144.95615
27,435141247,2504/36 La Trobe Street,Melbourne,3000,470,Apartment,2,1,0,0,N,-37.80825992,144.96763496,-37.80205,144.96951,-38.01399,145.17547,-37.80519,144.95509
28,435041079,3403/315-321 La Trobe Street,Melbourne,3000,550,Apartment,2,1,0,0,N,-37.81095284,144.95995055,-37.80205,144.96951,-37.74119,144.94274,-37.81654,144.95615
29,435041019,5008/500 Elizabeth Street,Melbourne,3000,420,Apartment,1,1,0,0,N,-37.80723593,144.96022013,-37.80205,144.96951,-37.80597,144.95288,-37.80519,144.95509
30,435141031,215/233-239 Collins Street,Melbourne,3000,530,Apartment,2,1,0,0,Y,-37.81588896,144.96598389,-37.80205,144.96951,-38.01399,145.17547,-37.81654,144.95615
32,435140187,unit 1701/141-149 La Trobe Street,Melbourne,3000,500,Apartment,1,1,0,0,N,-37.80874709,144.96747579,-37.80205,144.96951,-38.01399,145.17547,-37.80519,144.95509
33,435140119,2912/350 William Street,Melbourne,3000,400,Apartment,1,1,0,0,N,-37.81127391,144.95647291,-37.79873,144.95064,-37.74119,144.94274,-37.81654,144.95615
34,435139891,2511/155 Franklin Street,Melbourne,3000,620,Apartment,2,1,0,0,Y,-37.80866473,144.95947354,-37.80205,144.96951,-37.74119,144.94274,-37.80519,144.95509
35,430603630,1711/668 Bourke Street,Melbourne,3000,845,Apartment,3,2,2,0,N,-37.8166019,144.95420038,-37.82935,144.9535,-37.74119,144.94274,-37.81654,144.95615
36,435139711,2913/350 William Street,Melbourne,3000,500,Apartment,2,2,0,0,N,-37.81127391,144.95647291,-37.79873,144.95064,-37.74119,144.94274,-37.81654,144.95615
37,435039035,8/287-293 Exhibition Street,Melbourne,3000,420,Apartment,1,1,0,0,Y,-37.80908145,144.96890819,-37.80205,144.96951,-38.01399,145.17547,-37.80519,144.95509
38,435038995,5111/560 Lonsdale Street,Melbourne,3000,500,Apartment,1,1,0,0,N,-37.81396911,144.95565289,-37.81271,144.94055,-37.74119,144.94274,-37.81654,144.95615
39,435138955,2008/228 La Trobe Street,Melbourne,3000,600,Apartment,1,1,1,0,N,-37.80977208,144.96246014,-37.80205,144.96951,-38.01399,145.17547,-37.80519,144.95509
40,435095387,2905/483 Swanston Street,Melbourne,3000,530,Apartment,2,1,0,0,N,-37.80721793,144.96233577,-37.80205,144.96951,-38.01399,145.17547,-37.80519,144.95509
41,435138407,1603/464 Collins Street,Melbourne,3000,525,Apartment,1,1,0,0,N,-37.81756745,144.95863992,-37.82935,144.9535,-37.74119,144.94274,-37.81654,144.95615
42,435038083,3604/568 Collins Street,Melbourne,3000,550,Apartment,2,2,1,0,N,-37.81846898,144.95547106,-37.82935,144.9535,-37.74119,144.94274,-37.81654,144.95615
43,435038011,0203/233 Collins St,Melbourne,3000,520,Apartment,2,1,0,0,N,-37.81588896,144.96598389,-37.80205,144.96951,-38.01399,145.17547,-37.81654,144.95615
44,435036739,34/546 Flinders Street,Melbourne,3000,260,Studio,0,1,0,0,N,-37.82052111,144.95614301,-37.82935,144.9535,-37.74119,144.94274,-37.81654,144.95615
45,435136891,1709/80 A'Beckett Street,Melbourne,3000,500,Apartment,1,1,0,0,N,-37.80903594,144.96105282,-37.80205,144.96951,-37.74119,144.94274,-37.80519,144.95509
46,428199682,6302/500 Elizabeth Street,Melbourne,3000,565,Apartment,2,1,0,0,N,-37.80723593,144.96022013,-37.80205,144.96951,-37.80597,144.95288,-37.80519,144.95509
47,435136071,1111/250 Elizabeth Street,Melbourne,3000,400,Apartment,1,1,0,0,N,-37.81267859,144.96273251,-37.80205,144.96951,-38.01399,145.17547,-37.81654,144.95615
48,435136047,3208/120 A'Beckett Street,Melbourne,3000,650,Apartment,2,2,1,0,N,-37.80866473,144.95947354,-37.80205,144.96951,-37.74119,144.94274,-37.80519,144.95509
49,431098050,4304/442 Elizabeth Street,Melbourne,3000,600,Apartment,2,1,0,0,N,-37.80834504,144.9607299,-37.80205,144.96951,-37.74119,144.94274,-37.80519,144.95509
50,435035575,409/233 Collins Street,Melbourne,3000,485,Apartment,2,1,0,0,N,-37.81588896,144.96598389,-37.80205,144.96951,-38.01399,145.17547,-37.81654,144.95615
51,435135443,2018/220 Spencer Street,Melbourne,3000,450,Apartment,2,1,0,0,N,-37.81558374,144.95307424,-37.81271,144.94055,-37.74119,144.94274,-37.81654,144.95615
52,424235254,9/5-7 Drewery Lane,Melbourne,3000,650,Apartment,2,2,1,0,N,-37.811101,144.963803,-37.80205,144.96951,-38.01399,145.17547,-37.81654,144.95615
54,435135023,1709/500 Elizabeth Street,Melbourne,3000,410,Apartment,1,1,0,0,N,-37.80723593,144.96022013,-37.80205,144.96951,-37.80597,144.95288,-37.80519,144.95509
55,435134927,1704/318 Queen Street,Melbourne,3000,775,Apartment,2,2,0,0,N,-37.81121545,144.95925724,-37.80205,144.96951,-37.74119,144.94274,-37.81654,144.95615
56,435134479,1306/618 Lonsdale Street,Melbourne,3000,515,Apartment,2,1,0,0,N,-37.81442001,144.954054,-37.81271,144.94055,-37.74119,144.94274,-37.81654,144.95615
57,435134143,504/350 La Trobe Street,Melbourne,3000,395,Apartment,2,1,0,0,N,-37.81070368,144.95927893,-37.80205,144.96951,-37.74119,144.94274,-37.81654,144.95615
58,435134067,3610/500 Elizabeth Street,Melbourne,3000,580,Apartment,2,2,0,0,N,-37.80723593,144.96022013,-37.80205,144.96951,-37.80597,144.95288,-37.80519,144.95509
59,434928403,4402/618 Lonsdale Street,Melbourne,3000,670,Apartment,2,2,1,0,N,-37.81442001,144.954054,-37.81271,144.94055,-37.74119,144.94274,-37.81654,144.95615
60,434928395,703/181 ABeckett Street,Melbourne,3000,370,Studio,1,1,0,0,Y,-37.81017856,144.9582146,-37.79873,144.95064,-37.74119,144.94274,-37.80519,144.95509
61,434927695,4205/81 A'Beckett St,Melbourne,3000,560,Apartment,1,1,0,0,Y,-37.80937409,144.96120621,-37.80205,144.96951,-37.74119,144.94274,-37.80519,144.95509
62,435133003,1506B/639 Little Lonsdale Street,Melbourne,3000,520,Apartment,1,1,0,0,N,-37.81422603,144.95247795,-37.81271,144.94055,-37.74119,144.94274,-37.81654,144.95615
63,435132995,2707B/639 Little Lonsdale Street,Melbourne,3000,520,Apartment,1,1,0,0,N,-37.81422603,144.95247795,-37.81271,144.94055,-37.74119,144.94274,-37.81654,144.95615
64,435132983,1215/39 Lonsdale Street,Melbourne,3000,420,Apartment,2,1,0,0,N,-37.80991935,144.97110119,-37.80205,144.96951,-37.87323,144.98349,-37.80784,144.9848
66,435132563,1007/27 Therry Street,Melbourne,3000,525,Apartment,2,1,0,0,N,-37.80694309,144.96107118,-37.80205,144.96951,-37.80597,144.95288,-37.80519,144.95509
67,435132443,3208/9-23 Mackenzie Street,Melbourne,3000,750,Apartment,2,2,1,0,N,-37.80753655,144.96732789,-37.80205,144.96951,-38.01399,145.17547,-37.80519,144.95509
69,434732451,6205/568 Collins Street,Melbourne,3000,550,Apartment,2,1,0,0,N,-37.81846898,144.95547106,-37.82935,144.9535,-37.74119,144.94274,-37.81654,144.95615
70,412174187,2510/22-24 Jane Bell Lane,Melbourne,3000,570,Apartment,2,1,1,0,Y,-37.81009122722055,144.96626443522214,-37.80205,144.96951,-38.01399,145.17547,-37.81654,144.95615
71,434731955,192/538 Little Lonsdale Street,Melbourne,3000,590,Apartment,2,1,1,0,N,-37.81361479,144.95327205,-37.81271,144.94055,-37.74119,144.94274,-37.81654,144.95615
72,435130467,4901/560 Lonsdale Street,Melbourne,3000,500,Apartment,1,1,0,0,N,-37.81396911,144.95565289,-37.81271,144.94055,-37.74119,144.94274,-37.81654,144.95615
73,435029855,2901/11 Rose Lane,Melbourne,3000,575,Apartment,2,1,1,0,Y,-37.81545214,144.95408105,-37.81271,144.94055,-37.74119,144.94274,-37.81654,144.95615
74,435130115,1106/555 Flinders Street,Melbourne,3000,370,Apartment,1,1,0,0,N,-37.82145164,144.95564585,-37.82935,144.9535,-37.74119,144.94274,-37.81654,144.95615
75,431049234,2602/560 Flinders Street,Melbourne,3000,650,Apartment,2,1,0,0,Y,-37.82062941,144.95576947,-37.82935,144.9535,-37.74119,144.94274,-37.81654,144.95615
76,435130011,2206/75-89 A'beckett Street,Melbourne,3000,700,Apartment,2,1,0,0,N,-37.80937409,144.96120621,-37.80205,144.96951,-37.74119,144.94274,-37.80519,144.95509
77,435029267,2.01/15 Collins Street,Melbourne,3000,695,Apartment,2,2,1,0,N,-37.81375319,144.97330122,-37.80205,144.96951,-38.01399,145.17547,-37.80784,144.9848
78,435129495,4405/639 Lonsdale Street,Melbourne,3000,580,Apartment,2,1,0,0,Y,-37.81508266,144.95330845,-37.81271,144.94055,-37.74119,144.94274,-37.81654,144.95615
79,435129487,2901/200 Spencer Street,Melbourne,3000,500,Apartment,2,1,1,0,N,-37.81630028,144.95316801,-37.82935,144.9535,-37.74119,144.94274,-37.81654,144.95615
80,435129423,1002/233 Collins St,Melbourne,3000,450,Apartment,1,1,0,0,Y,-37.81588896,144.96598389,-37.80205,144.96951,-38.01399,145.17547,-37.81654,144.95615
81,435128787,503/243 Franklin Street,Melbourne,3000,350,Apartment,1,1,0,0,Y,-37.8095502,144.95662008,-37.79873,144.95064,-37.74119,144.94274,-37.80519,144.95509
82,435128283,211B/399 Bourke Street,Melbourne,3000,350,Apartment,1,1,0,0,N,-37.81474565,144.96223608,-37.80205,144.96951,-37.74119,144.94274,-37.81654,144.95615
84,435127631,405/39 Queen Street,Melbourne,3000,450,Apartment,1,1,0,1,N,-37.817888,144.96173721,-37.82935,144.9535,-37.74119,144.94274,-37.81654,144.95615
85,435127563,2906/80 Abeckett Street,Melbourne,3000,500,Apartment,2,1,0,0,N,-37.80903594,144.96105282,-37.80205,144.96951,-37.74119,144.94274,-37.80519,144.95509
86,435127239,1702/8 Downie Street,Melbourne,3000,360,Apartment,1,1,0,0,N,-37.82055509,144.95602546,-37.82935,144.9535,-37.74119,144.94274,-37.81654,144.95615
87,435126339,1108/551-555 Swanston Street,Melbourne,3000,575,Apartment,2,2,1,0,Y,-37.8057399,144.96279031,-37.80205,144.96951,-38.01399,145.17547,-37.80519,144.95509
88,435126167,1016/233 Collins St,Melbourne,3000,460,Apartment,2,1,0,0,N,-37.81588896,144.96598389,-37.80205,144.96951,-38.01399,145.17547,-37.81654,144.95615
89,425111542,2513/157 A'beckett Street,Melbourne,3000,800,Apartment,2,2,0,0,N,-37.81012056,144.95875235,-37.80205,144.96951,-37.74119,144.94274,-37.80519,144.95509
90,435125487,2302/5 Sutherland Street,Melbourne,3000,430,Apartment,1,1,0,0,Y,-37.81145799,144.96084673,-37.80205,144.96951,-37.74119,144.94274,-37.81654,144.95615
91,435024515,504/639 Lonsdale Street,Melbourne,3000,550,Apartment,2,1,0,0,N,-37.81508266,144.95330845,-37.81271,144.94055,-37.74119,144.94274,-37.81654,144.95615
92,435024503,5605/560 Lonsdale Street,Melbourne,3000,800,Apartment,2,2,1,0,N,-37.81396911,144.95565289,-37.81271,144.94055,-37.74119,144.94274,-37.81654,144.95615
93,435024407,2402/80 A'beckett Street,Melbourne,3000,530,Apartment,2,1,0,0,N,-37.80903594,144.96105282,-37.80205,144.96951,-37.74119,144.94274,-37.80519,144.95509
94,435124987,625/118 Franklin Street,Melbourne,3000,530,Apartment,3,2,0,0,N,-37.80835728,144.95900848,-37.80205,144.96951,-37.74119,144.94274,-37.80519,144.95509
95,435124727,3601/8 Sutherland Street,Melbourne,3000,720,Apartment,3,2,0,0,Y,-37.81140829,144.96101689,-37.80205,144.96951,-37.74119,144.94274,-37.81654,144.95615
96,435022863,1501/568 St Kilda Road,Melbourne,3000,430,Apartment,1,1,1,0,N,-37.84702394,144.97902329,-37.84883,144.98214,-37.84883,144.98214,-37.84977,144.98231
97,435123279,6207/568 Collins Street,Melbourne,3000,450,Apartment,1,1,0,0,N,-37.81846898,144.95547106,-37.82935,144.9535,-37.74119,144.94274,-37.81654,144.95615
98,435123211,1206/118 Russell Street,Melbourne,3000,550,Apartment,2,1,0,0,N,-37.81351305,144.96908252,-37.80205,144.96951,-38.01399,145.17547,-37.81654,144.95615
99,435122575,2803/483 Swanston Street,Melbourne,3000,600,Apartment,2,1,0,0,Y,-37.80721793,144.96233577,-37.80205,144.96951,-38.01399,145.17547,-37.80519,144.95509
100,435122415,201/108 Flinders Street,Melbourne,3000,400,Apartment,2,1,0,0,N,-37.81615882,144.97112066,-37.80205,144.96951,-38.01399,145.17547,-37.81654,144.95615
101,435122143,709/11 Cohen Place,Melbourne,3000,450,Apartment,1,1,0,0,N,-37.8109907,144.96903427,-37.80205,144.96951,-38.01399,145.17547,-37.81654,144.95615
102,435122115,1605/12  Queen Rd,Melbourne,3000,759,Apartment,2,2,1,0,N,-37.83878871,144.9743025,-37.83359,144.97709,-37.83589,144.97186,-37.84977,144.98231
103,435121351,4107/371 Little Lonsdale Street,Melbourne,3000,650,Apartment,2,1,0,0,N,-37.81181276,144.96105113,-37.80205,144.96951,-37.74119,144.94274,-37.81654,144.95615
104,434927035,1214/22-24 Jane Bell Lane,Melbourne,3000,530,Apartment,2,1,0,0,N,-37.8101513,144.96621802,-37.80205,144.96951,-38.01399,145.17547,-37.81654,144.95615
105,435120759,3405/81 A'beckett Street,Melbourne,3000,600,Apartment,2,1,0,0,N,-37.80937409,144.96120621,-37.80205,144.96951,-37.74119,144.94274,-37.80519,144.95509
106,435120255,1014/260 Spencer Street,Melbourne,3000,490,Apartment,1,1,0,0,N,-37.81466833,144.9526688,-37.81271,144.94055,-37.74119,144.94274,-37.81654,144.95615
107,435119931,309/402-408 La Trobe Street,Melbourne,3000,450,Apartment,2,1,0,0,N,-37.8111586,144.95772176,-37.79873,144.95064,-37.74119,144.94274,-37.81654,144.95615
108,423938838,1610/199 William Street,Melbourne,3000,600,Apartment,2,2,0,0,Y,-37.814638,144.957123,-37.82935,144.9535,-37.74119,144.94274,-37.81654,144.95615
109,435119611,3705/462 Elizabeth Street,Melbourne,3000,725,Apartment,2,2,0,0,Y,-37.80787113,144.9605113,-37.80205,144.96951,-37.80597,144.95288,-37.80519,144.95509
110,435119559,1203/243 Franklin Street,Melbourne,3000,380,Apartment,1,1,0,0,Y,-37.8095502,144.95662008,-37.79873,144.95064,-37.74119,144.94274,-37.80519,144.95509
111,431407982,3106/285 La Trobe Street,Melbourne,3000,670,Apartment,2,2,0,0,N,-37.81069224,144.96083581,-37.80205,144.96951,-37.74119,144.94274,-37.81654,144.95615
112,435118351,806B/639 Little Lonsdale Street,Melbourne,3000,550,Apartment,1,1,0,0,N,-37.81422603,144.95247795,-37.81271,144.94055,-37.74119,144.94274,-37.81654,144.95615
113,435117999,828/139 Lonsdale Street,Melbourne,3000,450,Apartment,2,1,0,0,N,-37.81075027,144.96825648,-37.80205,144.96951,-38.01399,145.17547,-37.81654,144.95615
114,435117795,3403/371 Little Lonsdale Street,Melbourne,3000,650,Apartment,2,2,0,0,N,-37.81181276,144.96105113,-37.80205,144.96951,-37.74119,144.94274,-37.81654,144.95615
115,435117695,2007B/639 Little Lonsdale Street,Melbourne,3000,460,Apartment,1,1,0,0,N,-37.81422603,144.95247795,-37.81271,144.94055,-37.74119,144.94274,-37.81654,144.95615
116,435117579,306/408 Lonsdale Street,Melbourne,3000,350,Apartment,1,1,0,0,Y,-37.81259809,144.96040233,-37.80205,144.96951,-37.74119,144.94274,-37.81654,144.95615
117,435117471,914B/639 Little Lonsdale Street,Melbourne,3000,700,Apartment,2,2,0,0,N,-37.81422603,144.95247795,-37.81271,144.94055,-37.74119,144.94274,-37.81654,144.95615
118,435117387,4313/560 Lonsdale Street,Melbourne,3000,900,Apartment,3,2,1,0,N,-37.81396911,144.95565289,-37.81271,144.94055,-37.74119,144.94274,-37.81654,144.95615
119,435117243,604/20-22 McKillop Street,Melbourne,3000,540,Apartment,2,1,0,0,N,-37.81517649,144.96182081,-37.80205,144.96951,-37.74119,144.94274,-37.81654,144.95615
120,435117111,2804/38 Rose Lane,Melbourne,3000,580,Apartment,2,1,0,0,Y,-37.81501255,144.95417288,-37.81271,144.94055,-37.74119,144.94274,-37.81654,144.95615
121,435116795,811/408 Lonsdale Street,Melbourne,3000,400,Apartment,1,1,0,0,Y,-37.81259809,144.96040233,-37.80205,144.96951,-37.74119,144.94274,-37.81654,144.95615
122,430343262,2206/288 Spencer Street,Melbourne,3000,440,Apartment,1,1,0,0,N,-37.81382683,144.95202133,-37.81271,144.94055,-37.74119,144.94274,-37.81654,144.95615
123,435116239,1313/268 Flinders Street,Melbourne,3000,350,Apartment,2,1,0,0,N,-37.81776407,144.96564753,-37.80205,144.96951,-38.01399,145.17547,-37.81654,144.95615
124,435115847,2803/318 Russell Street,Melbourne,3000,720,Apartment,2,2,0,0,N,-37.80935157,144.96679686,-37.80205,144.96951,-38.01399,145.17547,-37.80519,144.95509
125,435115087,1011/618 Lonsdale Street,Melbourne,3000,600,Apartment,2,2,1,0,N,-37.81442001,144.954054,-37.81271,144.94055,-37.74119,144.94274,-37.81654,144.95615
126,434924363,2514/250 Elizabeth Street,Melbourne,3000,800,Apartment,2,1,2,0,N,-37.81267859,144.96273251,-37.80205,144.96951,-38.01399,145.17547,-37.81654,144.95615
127,434923923,909/565 Flinders Street,Melbourne,3000,550,House,2,2,1,0,N,-37.82106828,144.95589951,-37.82935,144.9535,-37.74119,144.94274,-37.81654,144.95615
128,415254047,711/500 Flinders Street,Melbourne,3000,250,Apartment,1,1,0,0,N,-37.819997,144.957838,-37.82935,144.9535,-37.74119,144.94274,-37.81654,144.95615
129,434923211,1913/250 Elizabeth Street,Melbourne,3000,420,Apartment,1,1,0,0,N,-37.81267859,144.96273251,-37.80205,144.96951,-38.01399,145.17547,-37.81654,144.95615
130,434922703,4203/318 Rusell Street,Melbourne,3000,650,Apartment,2,1,0,0,N,-37.80935157,144.96679686,-37.80205,144.96951,-38.01399,145.17547,-37.80519,144.95509
131,434708975,3408/33 rose Lane,Melbourne,3000,550,Apartment,2,1,0,0,N,-37.81545214,144.95408105,-37.81271,144.94055,-37.74119,144.94274,-37.81654,144.95615
132,435114495,1109/225 Elizabeth Street,Melbourne,3000,550,Apartment,2,1,0,0,N,-37.81312188,144.96236748,-37.80205,144.96951,-37.74119,144.94274,-37.81654,144.95615
133,434817403,3402/318 Queens Street,Melbourne,3000,650,Apartment,2,1,0,0,N,-37.81121545,144.95925724,-37.80205,144.96951,-37.74119,144.94274,-37.81654,144.95615
134,431617130,2612/500 Elizabeth Street,Melbourne,3000,580,Apartment,2,1,0,0,Y,-37.80723593,144.96022013,-37.80205,144.96951,-37.80597,144.95288,-37.80519,144.95509
135,434816271,901/36 La Trobe,Melbourne,3000,460,Apartment,1,1,0,0,N,-37.80825992,144.96763496,-37.80205,144.96951,-38.01399,145.17547,-37.80519,144.95509
136,435021635,3709/639 Lonsdale Street,Melbourne,3000,680,Apartment,2,1,1,0,Y,-37.81508266,144.95330845,-37.81271,144.94055,-37.74119,144.94274,-37.81654,144.95615
137,435021211,3502/318 Russell Street,Melbourne,3000,800,Apartment,2,2,0,0,N,-37.80935157,144.96679686,-37.80205,144.96951,-38.01399,145.17547,-37.80519,144.95509
138,424955974,202/70 Queens Road,Melbourne,3000,440,Apartment,1,1,1,0,Y,-37.851156,144.979165,-37.84883,144.98214,-37.84883,144.98214,-37.84977,144.98231
139,426605246,4210/228 La Trobe Street,Melbourne,3000,580,Apartment,1,1,0,0,Y,-37.80977208,144.96246014,-37.80205,144.96951,-38.01399,145.17547,-37.80519,144.95509
140,426133242,2313/220 Spencer Street,Melbourne,3000,675,Apartment,2,2,1,0,N,-37.815375,144.953517,-37.81271,144.94055,-37.74119,144.94274,-37.81654,144.95615
141,434916191,2607R/33 Rose Lane,Melbourne,3000,950,Apartment,3,2,1,0,N,-37.81545214,144.95408105,-37.81271,144.94055,-37.74119,144.94274,-37.81654,144.95615
142,435017215,4308/33 Rose Lane,Melbourne,3000,580,Apartment,2,1,0,0,Y,-37.81545214,144.95408105,-37.81271,144.94055,-37.74119,144.94274,-37.81654,144.95615
143,435016971,2209/500 Elizabeth Street,Melbourne,3000,420,Apartment,1,1,0,0,N,-37.80723593,144.96022013,-37.80205,144.96951,-37.80597,144.95288,-37.80519,144.95509
144,435016803,1609/568 Collins St,Melbourne,3000,450,Apartment,1,1,0,0,N,-37.81846898,144.95547106,-37.82935,144.9535,-37.74119,144.94274,-37.81654,144.95615
145,435016179,5207/568 Collins Street,Melbourne,3000,450,Apartment,1,1,0,0,N,-37.81846898,144.95547106,-37.82935,144.9535,-37.74119,144.94274,-37.81654,144.95615
146,435016095,204/565 Flinders Street,Melbourne,3000,495,Apartment,2,1,0,0,N,-37.82106828,144.95589951,-37.82935,144.9535,-37.74119,144.94274,-37.81654,144.95615
149,435015103,3410/33 Rose Lane,Melbourne,3000,550,Apartment,2,1,0,0,N,-37.81545214,144.95408105,-37.81271,144.94055,-37.74119,144.94274,-37.81654,144.95615
150,435014543,305/594 St Kilda Road,Melbourne,3000,630,Apartment,2,2,1,0,N,-37.84960391,144.97996327,-37.84883,144.98214,-37.84883,144.98214,-37.84977,144.98231
151,435014495,803/108 Flinders Street,Melbourne,3000,699,Apartment,2,2,1,0,N,-37.81615882,144.97112066,-37.80205,144.96951,-38.01399,145.17547,-37.81654,144.95615
152,434697087,1316/555-557 St Kilda Road,Melbourne,3000,560,Apartment,2,2,1,0,N,-37.84777835,144.98150694,-37.84883,144.98214,-37.84883,144.98214,-37.84977,144.98231
153,435113563,2804/288 Spencer Street,Melbourne,3000,360,Apartment,1,1,0,0,N,-37.81382683,144.95202133,-37.81271,144.94055,-37.74119,144.94274,-37.81654,144.95615
154,415009031,811/243 Franklin Street,Melbourne,3000,520,Apartment,2,1,0,0,Y,-37.809783,144.956671,-37.79873,144.95064,-37.74119,144.94274,-37.80519,144.95509
155,435011419,3302/327 La Trobe Street,Melbourne,3000,570,Apartment,2,1,0,0,N,-37.81100196,144.95978387,-37.80205,144.96951,-37.74119,144.94274,-37.81654,144.95615
156,419637930,1216/199 William Street,Melbourne,3000,500,Apartment,1,1,0,0,N,-37.814591,144.957305,-37.82935,144.9535,-37.74119,144.94274,-37.81654,144.95615
157,435012739,1609/31 ABeckett Street,Melbourne,3000,550,Apartment,2,1,1,0,N,-37.80891993,144.96260613,-37.80205,144.96951,-38.01399,145.17547,-37.80519,144.95509
158,435011867,2102/25 Therry Street,Melbourne,3000,480,Apartment,1,1,0,0,Y,-37.80694309,144.96107118,-37.80205,144.96951,-37.80597,144.95288,-37.80519,144.95509
159,435012447,5607/134 Spencer Street,Melbourne,3000,740,Apartment,2,2,0,0,N,-37.81743491,144.95364626,-37.82935,144.9535,-37.74119,144.94274,-37.81654,144.95615
160,435012199,915/555 Flinders Street,Melbourne,3000,775,Apartment,2,2,1,0,N,-37.82145164,144.95564585,-37.82935,144.9535,-37.74119,144.94274,-37.81654,144.95615
161,429737054,2008/155 Franklin Street,Melbourne,3000,430,Apartment,1,1,1,0,N,-37.80866473,144.95947354,-37.80205,144.96951,-37.74119,144.94274,-37.80519,144.95509
