,id,address,suburb,postcode,price,propertyType,bedrooms,bathrooms,parkingSpaces,studies,furnished,latitude,longitude,min_pri_latitude,min_pri_longitude,min_sec_latitude,min_sec_longitude,min_other_latitude,min_other_longitude
0,435045151,2109/33 MacKenzie St,Melbourne,3000,560,Apartment,2,1,0,0,N,-37.80768181,144.96683064,-37.80205,144.96951,-38.01399,145.17547,-37.80519,144.95509
1,435045047,2108/11 Rose Lane,Melbourne,3000,580,Apartment,2,1,0,0,Y,-37.81545214,144.95408105,-37.81271,144.94055,-37.74119,144.94274,-37.81654,144.95615
2,435144851,3210/9-23 Mackenzie Street,Melbourne,3000,450,Apartment,1,1,0,0,N,-37.80753655,144.96732789,-37.80205,144.96951,-38.01399,145.17547,-37.80519,144.95509
3,435144711,300/668 Bourke Street,Melbourne,3000,550,Apartment,2,2,1,0,N,-37.8166019,144.95420038,-37.82935,144.9535,-37.74119,144.94274,-37.81654,144.95615
4,435044255,2108/11 Rose Lane,Melbourne,3000,600,Apartment,2,1,0,0,Y,-37.81545214,144.95408105,-37.81271,144.94055,-37.74119,144.94274,-37.81654,144.95615
5,435044235,4701/38 Rose Lane,Melbourne,3000,650,Apartment,2,2,1,0,N,-37.81501255,144.95417288,-37.81271,144.94055,-37.74119,144.94274,-37.81654,144.95615
8,434939691,1404/7 Katherine Place,Melbourne,3000,465,Apartment,1,1,0,0,Y,-37.82042051,144.95649006,-37.82935,144.9535,-37.74119,144.94274,-37.81654,144.95615
9,435043387,2806/27 Lt Collins Street,Melbourne,3000,500,Apartment,1,1,0,0,N,-37.81275115,144.97255381,-37.80205,144.96951,-38.01399,145.17547,-37.80784,144.9848
10,435143123,18/300 King Street,Melbourne,3000,590,Apartment,2,1,0,0,Y,-37.81317958,144.95452919,-37.81271,144.94055,-37.74119,144.94274,-37.81654,144.95615
11,435142791,109/441 Lonsdale Street,Melbourne,3000,360,Apartment,2,1,0,0,Y,-37.81334514,144.95937885,-37.80205,144.96951,-37.74119,144.94274,-37.81654,144.95615
12,435142691,2401/371 Little Lonsdale Street,Melbourne,3000,500,Apartment,1,1,0,0,N,-37.81181276,144.96105113,-37.80205,144.96951,-37.74119,144.94274,-37.81654,144.95615
13,435142687,3902/220 Spencer Street,Melbourne,3000,650,Apartment,2,2,1,0,Y,-37.81558374,144.95307424,-37.81271,144.94055,-37.74119,144.94274,-37.81654,144.95615
14,435042619,2504/442 Elizabeth Street,Melbourne,3000,600,Apartment,2,1,0,0,N,-37.80834504,144.9607299,-37.80205,144.96951,-37.74119,144.94274,-37.80519,144.95509
15,435142623,924/555 Flinders Street,Melbourne,3000,480,Apartment,1,1,0,0,Y,-37.82145164,144.95564585,-37.82935,144.9535,-37.74119,144.94274,-37.81654,144.95615
