id,address,suburb,postcode,price,propertyType,bedrooms,bathrooms,parkingSpaces,studies,furnished,latitude,longitude,min_pri_latitude,min_pri_longitude,min_pri_distance,min_pri_duration,min_sec_latitude,min_sec_longitude,min_sec_distance,min_sec_duration,min_other_latitude,min_other_longitude,min_other_distance,min_other_duration
434992507,586 Waverley Road,Glen Waverley,3150,485,House,3,2,2,0,N,-37.887447,145.14976,-37.89012,145.14234,,,-37.8781,145.16211,,,-37.88836,145.16175,,
434988819,15 Tobias Avenue,Glen Waverley,3150,650,House,5,3,2,1,N,-37.887262,145.16847,-37.8868,145.16389,,,-37.8781,145.16211,,,-37.88836,145.16175,,
434975479,915 High Street Road,Glen Waverley,3150,580,House,4,2,2,0,N,-37.875297,145.177964,-37.88348,145.17881,,,-37.86541,145.17682,,,-37.88836,145.16175,,
434959683,65 Remington Drive,Glen Waverley,3150,490,House,4,2,2,0,N,-37.889938,145.184176,-37.88348,145.17881,,,-37.89951,145.16634,,,-37.88836,145.16175,,
434950483,2/227 Gallaghers Road,Glen Waverley,3150,525,House,3,2,1,0,N,-37.87833258,145.17825283,-37.88348,145.17881,,,-37.86541,145.17682,,,-37.88836,145.16175,,
434416515,38 Kauri Grove,Glen Waverley,3150,520,House,3,2,1,0,N,-37.893724,145.156994,-37.8868,145.16389,,,-37.89951,145.16634,,,-37.88836,145.16175,,
434208331,30 Jordan Grove,Glen Waverley,3150,450,House,3,1,0,0,N,-37.888111,145.167471,-37.8868,145.16389,,,-37.8781,145.16211,,,-37.88836,145.16175,,
434184143,9 Landridge Street,Glen Waverley,3150,550,House,4,1,5,0,N,-37.872498,145.168915,-37.87472,145.16759,,,-37.8781,145.16211,,,-37.88836,145.16175,,
434550643,202/263A Springvale Road,Glen Waverley,3150,650,Apartment,2,2,1,0,N,-37.87927746,145.16557563,-37.87472,145.16759,,,-37.8781,145.16211,,,-37.88836,145.16175,,
435132335,16 Tanya Place,Wheelers Hill,3150,720,House,5,2,4,0,N,-37.917393,145.19854,-37.91781,145.19051,,,-37.91013,145.18174,,,-37.90698,145.1658,,
435114295,"20 Southdown Avenue,",Glen Waverley,3150,600,House,4,2,3,0,N,-37.882885,145.16287,-37.8868,145.16389,,,-37.8781,145.16211,,,-37.88836,145.16175,,
