id,address,suburb,postcode,price,propertyType,bedrooms,bathrooms,parkingSpaces,studies,furnished,latitude,longitude,closest_primary_lat,closest_primary_long,closest_primary_distance,closest_primary_duration,closest_secondary_lat,closest_secondary_long,closest_secondary_distance,closest_secondary_duration,closest_train_lat,closest_train_long,closest_train_distance,closest_train_duration,closest_tram_lat,closest_tram_long,closest_tram_distance,closest_tram_duration,closest_bus_lat,closest_bus_long,closest_bus_distance,closest_bus_duration,closest_park_lat,closest_park_long,closest_park_distance,closest_park_duration,cbd_lat,cbd_long,cbd_distance,cbd_duration
435045151,2109/33 MacKenzie St,Melbourne,3000,560,Apartment,2,1,0,0,N,-37.80768181,144.9668306,-37.80205,144.96951,821.8,102.5,-37.79698,144.95538,2152.6,262.2,-37.809939,144.962594,916.1,128.0,-37.808909,144.966098,688.1,105.4,-37.807495,144.965637,136.5,19.5,-37.79768225,144.9686789,1410.7,177.2,-37.81022819,144.9627652,568.2,80.8
435045047,2108/11 Rose Lane,Melbourne,3000,580,Apartment,2,1,0,0,Y,-37.81545214,144.9540811,-37.81271,144.94055,1690.6,247.8,-37.82823,144.96477,2504.2,332.2,-37.817936,144.951411,1497.8,177.7,-37.815313,144.952381,227.7,41.4,-37.814288,144.955124,522.3,88.1,-37.81878617,144.9692956,2518.5,340.5,-37.81022819,144.9627652,1785.9,264.9
435144851,3210/9-23 Mackenzie Street,Melbourne,3000,450,Apartment,1,1,0,0,N,-37.80753655,144.9673279,-37.80205,144.96951,786.9,97.9,-37.79698,144.95538,2158.9,266.8,-37.809939,144.962594,958.8,134.5,-37.808185,144.968537,238.2,40.7,-37.806954,144.968752,237.6,41.4,-37.79768225,144.9686789,1417.0,181.7,-37.81022819,144.9627652,610.9,87.3
435144711,300/668 Bourke Street,Melbourne,3000,550,Apartment,2,2,1,0,N,-37.8166019,144.9542004,-37.81271,144.94055,2026.9,280.3,-37.82823,144.96477,2299.4,313.5,-37.817936,144.951411,1638.4,189.7,-37.816846,144.953997,491.7,74.8,-37.814821,144.952077,625.0,83.5,-37.81878617,144.9692956,2203.4,290.5,-37.81022819,144.9627652,1660.3,218.2
435044255,2108/11 Rose Lane,Melbourne,3000,600,Apartment,2,1,0,0,Y,-37.81545214,144.9540811,-37.81271,144.94055,1690.6,247.8,-37.82823,144.96477,2504.2,332.2,-37.817936,144.951411,1497.8,177.7,-37.815313,144.952381,227.7,41.4,-37.814288,144.955124,522.3,88.1,-37.81878617,144.9692956,2518.5,340.5,-37.81022819,144.9627652,1785.9,264.9
435044235,4701/38 Rose Lane,Melbourne,3000,650,Apartment,2,2,1,0,N,-37.81501255,144.9541729,-37.81271,144.94055,1778.6,268.9,-37.82823,144.96477,2592.2,353.3,-37.811981,144.955654,1093.2,175.1,-37.815313,144.952381,315.6,62.5,-37.814288,144.955124,610.3,109.3,-37.81878617,144.9692956,2606.5,361.6,-37.81022819,144.9627652,1873.9,286.0
434939691,1404/7 Katherine Place,Melbourne,3000,465,Apartment,1,1,0,0,Y,-37.82042051,144.9564901,-37.82935,144.9535,1846.4,226.9,-37.82823,144.96477,1789.8,247.6,-37.817936,144.951411,1544.6,169.4,-37.820834,144.955853,432.1,66.9,-37.819325,144.953509,592.7,75.0,-37.81878617,144.9692956,2151.5,289.2,-37.81022819,144.9627652,2077.4,262.9
435043387,2806/27 Lt Collins Street,Melbourne,3000,500,Apartment,1,1,0,0,N,-37.81275115,144.9725538,-37.80205,144.96951,1430.8,197.3,-37.82823,144.96477,2564.7,378.1,-37.811054,144.972911,552.1,83.5,-37.813557,144.973285,595.1,103.4,-37.80972,144.971323,839.4,127.8,-37.81878617,144.9692956,1157.9,171.2,-37.81022819,144.9627652,1308.6,185.8
435143123,18/300 King Street,Melbourne,3000,590,Apartment,2,1,0,0,Y,-37.81317958,144.9545292,-37.81271,144.94055,1729.2,247.3,-37.79698,144.95538,2259.7,299.3,-37.811981,144.955654,421.9,71.7,-37.81248,144.953732,749.6,122.1,-37.814201,144.955297,175.9,21.1,-37.81878617,144.9692956,2425.5,311.9,-37.81022819,144.9627652,1421.9,195.8
435142791,109/441 Lonsdale Street,Melbourne,3000,360,Apartment,2,1,0,0,Y,-37.81334514,144.9593789,-37.80205,144.96951,2144.8,231.3,-37.82823,144.96477,2319.9,331.7,-37.811981,144.955654,519.1,78.9,-37.815122,144.960054,310.1,54.2,-37.813269,144.959219,41.0,7.3,-37.81878617,144.9692956,1992.5,260.0,-37.81022819,144.9627652,988.8,143.9
