Sub,Type,Year,Median_Price
Albert Park-Middle Park-West St Kilda,1 bedroom flat,2016,325
Armadale,1 bedroom flat,2016,310
Carlton North,1 bedroom flat,2016,330
Carlton-Parkville,1 bedroom flat,2016,330
CBD-St Kilda Rd,1 bedroom flat,2016,380
Collingwood-Abbotsford,1 bedroom flat,2016,375
Docklands,1 bedroom flat,2016,430
East Melbourne,1 bedroom flat,2016,380
East St Kilda,1 bedroom flat,2016,300
Elwood,1 bedroom flat,2016,320
Fitzroy,1 bedroom flat,2016,380
Fitzroy North-Clifton Hill,1 bedroom flat,2016,340
Flemington-Kensington,1 bedroom flat,2016,330
North Melbourne-West Melbourne,1 bedroom flat,2016,337
Port Melbourne,1 bedroom flat,2016,420
Prahran-Windsor,1 bedroom flat,2016,320
Richmond-Burnley,1 bedroom flat,2016,365
South Melbourne,1 bedroom flat,2016,400
South Yarra,1 bedroom flat,2016,360
Southbank,1 bedroom flat,2016,430
St Kilda,1 bedroom flat,2016,345
Toorak,1 bedroom flat,2016,310
Group Total,1 bedroom flat,2016,360
Balwyn,1 bedroom flat,2016,360
Blackburn,1 bedroom flat,2016,330
Box Hill,1 bedroom flat,2016,245
Bulleen-Templestowe-Doncaster,1 bedroom flat,2016,350
Burwood-Ashburton,1 bedroom flat,2016,220
Camberwell-Glen Iris,1 bedroom flat,2016,328
Canterbury-Surrey Hills-Mont Albert,1 bedroom flat,2016,365
Chadstone-Oakleigh,1 bedroom flat,2016,330
Clayton,1 bedroom flat,2016,275
Doncaster East-Donvale,1 bedroom flat,2016,360
East Hawthorn,1 bedroom flat,2016,349
Glen Waverley-Mulgrave,1 bedroom flat,2016,370
Hawthorn,1 bedroom flat,2016,290
Kew,1 bedroom flat,2016,360
Mount Waverley,1 bedroom flat,2016,340
Nunawading-Mitcham,1 bedroom flat,2016,310
Vermont-Forest Hill-Burwood East,1 bedroom flat,2016,300
Group Total,1 bedroom flat,2016,300
Aspendale-Chelsea-Carrum,1 bedroom flat,2016,280
Bentleigh,1 bedroom flat,2016,270
Brighton,1 bedroom flat,2016,390
Brighton East,1 bedroom flat,2016,300
Carnegie,1 bedroom flat,2016,275
Caulfield,1 bedroom flat,2016,270
Cheltenham,1 bedroom flat,2016,320
Elsternwick,1 bedroom flat,2016,295
Hampton-Beaumaris,1 bedroom flat,2016,320
Malvern,1 bedroom flat,2016,350
Malvern East,1 bedroom flat,2016,265
Mentone-Parkdale-Mordialloc,1 bedroom flat,2016,280
Murrumbeena-Hughesdale,1 bedroom flat,2016,280
Group Total,1 bedroom flat,2016,285
Altona,1 bedroom flat,2016,250
Footscray,1 bedroom flat,2016,230
Keilor East-Avondale Heights,1 bedroom flat,2016,320
Melton,1 bedroom flat,2016,314
Newport-Spotswood,1 bedroom flat,2016,250
St Albans-Deer Park,1 bedroom flat,2016,210
Sunshine,1 bedroom flat,2016,210
Sydenham,1 bedroom flat,2016,293
Werribee-Hoppers Crossing,1 bedroom flat,2016,260
West Footscray,1 bedroom flat,2016,245
Williamstown,1 bedroom flat,2016,283
Yarraville-Seddon,1 bedroom flat,2016,260
Group Total,1 bedroom flat,2016,250
Broadmeadows-Roxburgh Park,1 bedroom flat,2016,210
Brunswick,1 bedroom flat,2016,330
Coburg-Pascoe Vale South,1 bedroom flat,2016,300
Craigieburn,1 bedroom flat,2016,290
East Brunswick,1 bedroom flat,2016,350
Essendon,1 bedroom flat,2016,300
Gladstone Park-Tullamarine,1 bedroom flat,2016,248
Keilor,1 bedroom flat,2016,-
Moonee Ponds-Ascot Vale,1 bedroom flat,2016,280
Oak Park-Glenroy-Fawkner,1 bedroom flat,2016,255
Pascoe Vale-Coburg North,1 bedroom flat,2016,240
Sunbury,1 bedroom flat,2016,220
West Brunswick,1 bedroom flat,2016,270
Group Total,1 bedroom flat,2016,295
Bundoora-Greensborough-Hurstbridge,1 bedroom flat,2016,253
Eltham-Research-Montmorency,1 bedroom flat,2016,270
Fairfield-Alphington,1 bedroom flat,2016,280
Heidelberg-Heidelberg West,1 bedroom flat,2016,300
Ivanhoe-Ivanhoe East,1 bedroom flat,2016,300
Mill Park-Epping,1 bedroom flat,2016,275
Northcote,1 bedroom flat,2016,300
Preston,1 bedroom flat,2016,300
Reservoir,1 bedroom flat,2016,280
Thomastown-Lalor,1 bedroom flat,2016,275
Thornbury,1 bedroom flat,2016,270
Whittlesea,1 bedroom flat,2016,-
Group Total,1 bedroom flat,2016,280
Bayswater,1 bedroom flat,2016,265
Boronia,1 bedroom flat,2016,283
Croydon-Lilydale,1 bedroom flat,2016,248
Ferntree Gully,1 bedroom flat,2016,235
Ringwood,1 bedroom flat,2016,280
Rowville,1 bedroom flat,2016,-
Wantirna-Scoresby,1 bedroom flat,2016,310
Yarra Ranges,1 bedroom flat,2016,220
Group Total,1 bedroom flat,2016,265
Berwick,1 bedroom flat,2016,-
Cranbourne,1 bedroom flat,2016,250
Dandenong,1 bedroom flat,2016,250
Dandenong North-Endeavour Hills,1 bedroom flat,2016,250
Narre Warren-Hampton Park,1 bedroom flat,2016,232
Noble Park,1 bedroom flat,2016,215
Pakenham,1 bedroom flat,2016,-
Springvale,1 bedroom flat,2016,250
Group Total,1 bedroom flat,2016,235
Dromana-Portsea,1 bedroom flat,2016,230
Frankston,1 bedroom flat,2016,220
Hastings-Flinders,1 bedroom flat,2016,259
Mt Eliza-Mornington-Mt Martha,1 bedroom flat,2016,238
Seaford-Carrum Downs,1 bedroom flat,2016,248
Group Total,1 bedroom flat,2016,225
Belmont-Grovedale,1 bedroom flat,2016,230
Corio,1 bedroom flat,2016,185
Geelong-Newcombe,1 bedroom flat,2016,245
Herne Hill-Geelong West,1 bedroom flat,2016,200
Lara,1 bedroom flat,2016,183
Newtown,1 bedroom flat,2016,198
North Geelong,1 bedroom flat,2016,195
Group Total,1 bedroom flat,2016,210
Ballarat,1 bedroom flat,2016,170
Mount Clear-Buninyong,1 bedroom flat,2016,178
Sebastopol-Delacombe,1 bedroom flat,2016,180
Wendouree-Alfredton,1 bedroom flat,2016,160
Group Total,1 bedroom flat,2016,165
Bendigo,1 bedroom flat,2016,178
Flora Hill-Bendigo East,1 bedroom flat,2016,173
Golden Square-Kangaroo Flat,1 bedroom flat,2016,170
North Bendigo,1 bedroom flat,2016,180
Group Total,1 bedroom flat,2016,175
Bairnsdale,1 bedroom flat,2016,170
Benalla,1 bedroom flat,2016,150
Castlemaine,1 bedroom flat,2016,-
Echuca,1 bedroom flat,2016,180
Hamilton,1 bedroom flat,2016,140
Horsham,1 bedroom flat,2016,175
Mildura,1 bedroom flat,2016,180
Moe-Newborough,1 bedroom flat,2016,130
Morwell,1 bedroom flat,2016,140
Ocean Grove-Barwon Heads,1 bedroom flat,2016,210
Portland,1 bedroom flat,2016,155
Sale-Maffra,1 bedroom flat,2016,170
Seymour,1 bedroom flat,2016,155
Shepparton,1 bedroom flat,2016,170
Swan Hill,1 bedroom flat,2016,140
Torquay,1 bedroom flat,2016,245
Traralgon,1 bedroom flat,2016,175
Wanagaratta,1 bedroom flat,2016,155
Warragul,1 bedroom flat,2016,-
Warrnambool,1 bedroom flat,2016,198
Wodonga,1 bedroom flat,2016,175
Group Total,1 bedroom flat,2016,165
Albert Park-Middle Park-West St Kilda,2 bedroom flat,2016,470
Armadale,2 bedroom flat,2016,400
Carlton North,2 bedroom flat,2016,440
Carlton-Parkville,2 bedroom flat,2016,480
CBD-St Kilda Rd,2 bedroom flat,2016,540
Collingwood-Abbotsford,2 bedroom flat,2016,500
Docklands,2 bedroom flat,2016,560
East Melbourne,2 bedroom flat,2016,528
East St Kilda,2 bedroom flat,2016,400
Elwood,2 bedroom flat,2016,430
Fitzroy,2 bedroom flat,2016,548
Fitzroy North-Clifton Hill,2 bedroom flat,2016,465
Flemington-Kensington,2 bedroom flat,2016,380
North Melbourne-West Melbourne,2 bedroom flat,2016,465
Port Melbourne,2 bedroom flat,2016,570
Prahran-Windsor,2 bedroom flat,2016,450
Richmond-Burnley,2 bedroom flat,2016,500
South Melbourne,2 bedroom flat,2016,515
South Yarra,2 bedroom flat,2016,510
Southbank,2 bedroom flat,2016,550
St Kilda,2 bedroom flat,2016,450
Toorak,2 bedroom flat,2016,460
Group Total,2 bedroom flat,2016,500
Balwyn,2 bedroom flat,2016,395
Blackburn,2 bedroom flat,2016,380
Box Hill,2 bedroom flat,2016,383
Bulleen-Templestowe-Doncaster,2 bedroom flat,2016,415
Burwood-Ashburton,2 bedroom flat,2016,400
Camberwell-Glen Iris,2 bedroom flat,2016,410
Canterbury-Surrey Hills-Mont Albert,2 bedroom flat,2016,395
Chadstone-Oakleigh,2 bedroom flat,2016,370
Clayton,2 bedroom flat,2016,360
Doncaster East-Donvale,2 bedroom flat,2016,393
East Hawthorn,2 bedroom flat,2016,420
Glen Waverley-Mulgrave,2 bedroom flat,2016,385
Hawthorn,2 bedroom flat,2016,420
Kew,2 bedroom flat,2016,408
Mount Waverley,2 bedroom flat,2016,385
Nunawading-Mitcham,2 bedroom flat,2016,350
Vermont-Forest Hill-Burwood East,2 bedroom flat,2016,350
Group Total,2 bedroom flat,2016,390
Aspendale-Chelsea-Carrum,2 bedroom flat,2016,350
Bentleigh,2 bedroom flat,2016,380
Brighton,2 bedroom flat,2016,515
Brighton East,2 bedroom flat,2016,420
Carnegie,2 bedroom flat,2016,400
Caulfield,2 bedroom flat,2016,400
Cheltenham,2 bedroom flat,2016,370
Elsternwick,2 bedroom flat,2016,400
Hampton-Beaumaris,2 bedroom flat,2016,440
Malvern,2 bedroom flat,2016,423
Malvern East,2 bedroom flat,2016,400
Mentone-Parkdale-Mordialloc,2 bedroom flat,2016,360
Murrumbeena-Hughesdale,2 bedroom flat,2016,400
Group Total,2 bedroom flat,2016,395
Altona,2 bedroom flat,2016,315
Footscray,2 bedroom flat,2016,342
Keilor East-Avondale Heights,2 bedroom flat,2016,370
Melton,2 bedroom flat,2016,250
Newport-Spotswood,2 bedroom flat,2016,333
St Albans-Deer Park,2 bedroom flat,2016,270
Sunshine,2 bedroom flat,2016,280
Sydenham,2 bedroom flat,2016,320
Werribee-Hoppers Crossing,2 bedroom flat,2016,275
West Footscray,2 bedroom flat,2016,340
Williamstown,2 bedroom flat,2016,350
Yarraville-Seddon,2 bedroom flat,2016,330
Group Total,2 bedroom flat,2016,310
Broadmeadows-Roxburgh Park,2 bedroom flat,2016,311
Brunswick,2 bedroom flat,2016,418
Coburg-Pascoe Vale South,2 bedroom flat,2016,360
Craigieburn,2 bedroom flat,2016,300
East Brunswick,2 bedroom flat,2016,440
Essendon,2 bedroom flat,2016,350
Gladstone Park-Tullamarine,2 bedroom flat,2016,300
Keilor,2 bedroom flat,2016,-
Moonee Ponds-Ascot Vale,2 bedroom flat,2016,370
Oak Park-Glenroy-Fawkner,2 bedroom flat,2016,333
Pascoe Vale-Coburg North,2 bedroom flat,2016,350
Sunbury,2 bedroom flat,2016,293
West Brunswick,2 bedroom flat,2016,350
Group Total,2 bedroom flat,2016,350
