Sub,Type,Year,Median_Price
Bundoora-Greensborough-Hurstbridge,2 bedroom flat,2016,330
Eltham-Research-Montmorency,2 bedroom flat,2016,350
Fairfield-Alphington,2 bedroom flat,2016,360
Heidelberg-Heidelberg West,2 bedroom flat,2016,360
Ivanhoe-Ivanhoe East,2 bedroom flat,2016,380
Mill Park-Epping,2 bedroom flat,2016,300
Northcote,2 bedroom flat,2016,430
Preston,2 bedroom flat,2016,370
Reservoir,2 bedroom flat,2016,330
Thomastown-Lalor,2 bedroom flat,2016,300
Thornbury,2 bedroom flat,2016,365
Whittlesea,2 bedroom flat,2016,280
Group Total,2 bedroom flat,2016,340
Bayswater,2 bedroom flat,2016,320
Boronia,2 bedroom flat,2016,335
Croydon-Lilydale,2 bedroom flat,2016,330
Ferntree Gully,2 bedroom flat,2016,330
Ringwood,2 bedroom flat,2016,330
Rowville,2 bedroom flat,2016,365
Wantirna-Scoresby,2 bedroom flat,2016,360
Yarra Ranges,2 bedroom flat,2016,300
Group Total,2 bedroom flat,2016,330
Berwick,2 bedroom flat,2016,310
Cranbourne,2 bedroom flat,2016,285
Dandenong,2 bedroom flat,2016,280
Dandenong North-Endeavour Hills,2 bedroom flat,2016,300
Narre Warren-Hampton Park,2 bedroom flat,2016,300
Noble Park,2 bedroom flat,2016,300
Pakenham,2 bedroom flat,2016,270
Springvale,2 bedroom flat,2016,330
Group Total,2 bedroom flat,2016,300
Dromana-Portsea,2 bedroom flat,2016,280
Frankston,2 bedroom flat,2016,283
Hastings-Flinders,2 bedroom flat,2016,280
Mt Eliza-Mornington-Mt Martha,2 bedroom flat,2016,330
Seaford-Carrum Downs,2 bedroom flat,2016,295
Group Total,2 bedroom flat,2016,290
Belmont-Grovedale,2 bedroom flat,2016,280
Corio,2 bedroom flat,2016,250
Geelong-Newcombe,2 bedroom flat,2016,295
Herne Hill-Geelong West,2 bedroom flat,2016,270
Lara,2 bedroom flat,2016,270
Newtown,2 bedroom flat,2016,280
North Geelong,2 bedroom flat,2016,288
Group Total,2 bedroom flat,2016,280
Ballarat,2 bedroom flat,2016,240
Mount Clear-Buninyong,2 bedroom flat,2016,240
Sebastopol-Delacombe,2 bedroom flat,2016,230
Wendouree-Alfredton,2 bedroom flat,2016,225
Group Total,2 bedroom flat,2016,230
Bendigo,2 bedroom flat,2016,235
Flora Hill-Bendigo East,2 bedroom flat,2016,235
Golden Square-Kangaroo Flat,2 bedroom flat,2016,240
North Bendigo,2 bedroom flat,2016,240
Group Total,2 bedroom flat,2016,240
Bairnsdale,2 bedroom flat,2016,230
Benalla,2 bedroom flat,2016,195
Castlemaine,2 bedroom flat,2016,270
Echuca,2 bedroom flat,2016,240
Hamilton,2 bedroom flat,2016,180
Horsham,2 bedroom flat,2016,210
Mildura,2 bedroom flat,2016,200
Moe-Newborough,2 bedroom flat,2016,165
Morwell,2 bedroom flat,2016,180
Ocean Grove-Barwon Heads,2 bedroom flat,2016,300
Portland,2 bedroom flat,2016,170
Sale-Maffra,2 bedroom flat,2016,250
Seymour,2 bedroom flat,2016,200
Shepparton,2 bedroom flat,2016,215
Swan Hill,2 bedroom flat,2016,220
Torquay,2 bedroom flat,2016,325
Traralgon,2 bedroom flat,2016,220
Wanagaratta,2 bedroom flat,2016,200
Warragul,2 bedroom flat,2016,250
Warrnambool,2 bedroom flat,2016,230
Wodonga,2 bedroom flat,2016,220
Group Total,2 bedroom flat,2016,220
Albert Park-Middle Park-West St Kilda,3 bedroom flat,2016,765
Armadale,3 bedroom flat,2016,590
Carlton North,3 bedroom flat,2016,650
Carlton-Parkville,3 bedroom flat,2016,650
CBD-St Kilda Rd,3 bedroom flat,2016,760
Collingwood-Abbotsford,3 bedroom flat,2016,750
Docklands,3 bedroom flat,2016,950
East Melbourne,3 bedroom flat,2016,783
East St Kilda,3 bedroom flat,2016,550
Elwood,3 bedroom flat,2016,580
Fitzroy,3 bedroom flat,2016,790
Fitzroy North-Clifton Hill,3 bedroom flat,2016,663
Flemington-Kensington,3 bedroom flat,2016,510
North Melbourne-West Melbourne,3 bedroom flat,2016,650
Port Melbourne,3 bedroom flat,2016,875
Prahran-Windsor,3 bedroom flat,2016,623
Richmond-Burnley,3 bedroom flat,2016,750
South Melbourne,3 bedroom flat,2016,700
South Yarra,3 bedroom flat,2016,730
Southbank,3 bedroom flat,2016,750
St Kilda,3 bedroom flat,2016,650
Toorak,3 bedroom flat,2016,655
Group Total,3 bedroom flat,2016,720
Balwyn,3 bedroom flat,2016,520
Blackburn,3 bedroom flat,2016,450
Box Hill,3 bedroom flat,2016,480
Bulleen-Templestowe-Doncaster,3 bedroom flat,2016,480
Burwood-Ashburton,3 bedroom flat,2016,510
Camberwell-Glen Iris,3 bedroom flat,2016,565
Canterbury-Surrey Hills-Mont Albert,3 bedroom flat,2016,540
Chadstone-Oakleigh,3 bedroom flat,2016,490
Clayton,3 bedroom flat,2016,430
Doncaster East-Donvale,3 bedroom flat,2016,450
East Hawthorn,3 bedroom flat,2016,565
Glen Waverley-Mulgrave,3 bedroom flat,2016,470
Hawthorn,3 bedroom flat,2016,600
Kew,3 bedroom flat,2016,550
Mount Waverley,3 bedroom flat,2016,490
Nunawading-Mitcham,3 bedroom flat,2016,430
Vermont-Forest Hill-Burwood East,3 bedroom flat,2016,430
Group Total,3 bedroom flat,2016,480
Aspendale-Chelsea-Carrum,3 bedroom flat,2016,420
Bentleigh,3 bedroom flat,2016,500
Brighton,3 bedroom flat,2016,700
Brighton East,3 bedroom flat,2016,523
Carnegie,3 bedroom flat,2016,530
Caulfield,3 bedroom flat,2016,550
Cheltenham,3 bedroom flat,2016,475
Elsternwick,3 bedroom flat,2016,560
Hampton-Beaumaris,3 bedroom flat,2016,625
Malvern,3 bedroom flat,2016,655
Malvern East,3 bedroom flat,2016,535
Mentone-Parkdale-Mordialloc,3 bedroom flat,2016,470
Murrumbeena-Hughesdale,3 bedroom flat,2016,480
Group Total,3 bedroom flat,2016,520
Altona,3 bedroom flat,2016,375
Footscray,3 bedroom flat,2016,450
Keilor East-Avondale Heights,3 bedroom flat,2016,400
Melton,3 bedroom flat,2016,278
Newport-Spotswood,3 bedroom flat,2016,500
St Albans-Deer Park,3 bedroom flat,2016,325
Sunshine,3 bedroom flat,2016,335
Sydenham,3 bedroom flat,2016,350
Werribee-Hoppers Crossing,3 bedroom flat,2016,310
West Footscray,3 bedroom flat,2016,400
Williamstown,3 bedroom flat,2016,538
Yarraville-Seddon,3 bedroom flat,2016,500
Group Total,3 bedroom flat,2016,340
Broadmeadows-Roxburgh Park,3 bedroom flat,2016,330
Brunswick,3 bedroom flat,2016,610
Coburg-Pascoe Vale South,3 bedroom flat,2016,480
Craigieburn,3 bedroom flat,2016,325
East Brunswick,3 bedroom flat,2016,600
Essendon,3 bedroom flat,2016,450
Gladstone Park-Tullamarine,3 bedroom flat,2016,340
Keilor,3 bedroom flat,2016,370
Moonee Ponds-Ascot Vale,3 bedroom flat,2016,478
Oak Park-Glenroy-Fawkner,3 bedroom flat,2016,390
Pascoe Vale-Coburg North,3 bedroom flat,2016,415
Sunbury,3 bedroom flat,2016,320
West Brunswick,3 bedroom flat,2016,513
Group Total,3 bedroom flat,2016,395
Bundoora-Greensborough-Hurstbridge,3 bedroom flat,2016,380
Eltham-Research-Montmorency,3 bedroom flat,2016,420
Fairfield-Alphington,3 bedroom flat,2016,573
Heidelberg-Heidelberg West,3 bedroom flat,2016,420
Ivanhoe-Ivanhoe East,3 bedroom flat,2016,515
Mill Park-Epping,3 bedroom flat,2016,330
Northcote,3 bedroom flat,2016,624
Preston,3 bedroom flat,2016,450
Reservoir,3 bedroom flat,2016,380
Thomastown-Lalor,3 bedroom flat,2016,350
Thornbury,3 bedroom flat,2016,520
Whittlesea,3 bedroom flat,2016,318
Group Total,3 bedroom flat,2016,395
Bayswater,3 bedroom flat,2016,380
Boronia,3 bedroom flat,2016,370
Croydon-Lilydale,3 bedroom flat,2016,400
Ferntree Gully,3 bedroom flat,2016,380
Ringwood,3 bedroom flat,2016,400
Rowville,3 bedroom flat,2016,388
Wantirna-Scoresby,3 bedroom flat,2016,400
Yarra Ranges,3 bedroom flat,2016,360
Group Total,3 bedroom flat,2016,390
Berwick,3 bedroom flat,2016,360
Cranbourne,3 bedroom flat,2016,310
Dandenong,3 bedroom flat,2016,360
Dandenong North-Endeavour Hills,3 bedroom flat,2016,340
Narre Warren-Hampton Park,3 bedroom flat,2016,330
Noble Park,3 bedroom flat,2016,350
Pakenham,3 bedroom flat,2016,300
Springvale,3 bedroom flat,2016,393
Group Total,3 bedroom flat,2016,350
Dromana-Portsea,3 bedroom flat,2016,365
Frankston,3 bedroom flat,2016,350
Hastings-Flinders,3 bedroom flat,2016,340
Mt Eliza-Mornington-Mt Martha,3 bedroom flat,2016,400
Seaford-Carrum Downs,3 bedroom flat,2016,345
Group Total,3 bedroom flat,2016,355
Belmont-Grovedale,3 bedroom flat,2016,342
Corio,3 bedroom flat,2016,290
Geelong-Newcombe,3 bedroom flat,2016,340
Herne Hill-Geelong West,3 bedroom flat,2016,370
Lara,3 bedroom flat,2016,330
Newtown,3 bedroom flat,2016,433
North Geelong,3 bedroom flat,2016,330
Group Total,3 bedroom flat,2016,340
Ballarat,3 bedroom flat,2016,275
Mount Clear-Buninyong,3 bedroom flat,2016,300
Sebastopol-Delacombe,3 bedroom flat,2016,265
Wendouree-Alfredton,3 bedroom flat,2016,300
Group Total,3 bedroom flat,2016,280
Bendigo,3 bedroom flat,2016,410
Flora Hill-Bendigo East,3 bedroom flat,2016,280
Golden Square-Kangaroo Flat,3 bedroom flat,2016,290
North Bendigo,3 bedroom flat,2016,280
Group Total,3 bedroom flat,2016,280
Bairnsdale,3 bedroom flat,2016,280
Benalla,3 bedroom flat,2016,280
Castlemaine,3 bedroom flat,2016,-
Echuca,3 bedroom flat,2016,290
Hamilton,3 bedroom flat,2016,-
Horsham,3 bedroom flat,2016,298
Mildura,3 bedroom flat,2016,260
Moe-Newborough,3 bedroom flat,2016,260
Morwell,3 bedroom flat,2016,210
Ocean Grove-Barwon Heads,3 bedroom flat,2016,375
Portland,3 bedroom flat,2016,250
Sale-Maffra,3 bedroom flat,2016,330
Seymour,3 bedroom flat,2016,-
Shepparton,3 bedroom flat,2016,310
Swan Hill,3 bedroom flat,2016,280
Torquay,3 bedroom flat,2016,405
Traralgon,3 bedroom flat,2016,265
Wanagaratta,3 bedroom flat,2016,275
Warragul,3 bedroom flat,2016,285
Warrnambool,3 bedroom flat,2016,300
Wodonga,3 bedroom flat,2016,290
Group Total,3 bedroom flat,2016,295
Albert Park-Middle Park-West St Kilda,2 bedroom house,2016,640
Armadale,2 bedroom house,2016,598
Carlton North,2 bedroom house,2016,520
Carlton-Parkville,2 bedroom house,2016,520
CBD-St Kilda Rd,2 bedroom house,2016,510
Collingwood-Abbotsford,2 bedroom house,2016,550
Docklands,2 bedroom house,2016,-
East Melbourne,2 bedroom house,2016,-
East St Kilda,2 bedroom house,2016,550
Elwood,2 bedroom house,2016,640
Fitzroy,2 bedroom house,2016,600
Fitzroy North-Clifton Hill,2 bedroom house,2016,560
Flemington-Kensington,2 bedroom house,2016,470
North Melbourne-West Melbourne,2 bedroom house,2016,500
Port Melbourne,2 bedroom house,2016,550
Prahran-Windsor,2 bedroom house,2016,560
Richmond-Burnley,2 bedroom house,2016,570
South Melbourne,2 bedroom house,2016,580
South Yarra,2 bedroom house,2016,600
Southbank,2 bedroom house,2016,-
St Kilda,2 bedroom house,2016,575
Toorak,2 bedroom house,2016,640
Group Total,2 bedroom house,2016,550
Balwyn,2 bedroom house,2016,410
Blackburn,2 bedroom house,2016,370
Box Hill,2 bedroom house,2016,380
Bulleen-Templestowe-Doncaster,2 bedroom house,2016,365
Burwood-Ashburton,2 bedroom house,2016,395
Camberwell-Glen Iris,2 bedroom house,2016,480
Canterbury-Surrey Hills-Mont Albert,2 bedroom house,2016,420
Chadstone-Oakleigh,2 bedroom house,2016,390
Clayton,2 bedroom house,2016,368
Doncaster East-Donvale,2 bedroom house,2016,400
East Hawthorn,2 bedroom house,2016,530
Glen Waverley-Mulgrave,2 bedroom house,2016,350
Hawthorn,2 bedroom house,2016,527
Kew,2 bedroom house,2016,520
Mount Waverley,2 bedroom house,2016,380
Nunawading-Mitcham,2 bedroom house,2016,370
Vermont-Forest Hill-Burwood East,2 bedroom house,2016,370
Group Total,2 bedroom house,2016,400
Aspendale-Chelsea-Carrum,2 bedroom house,2016,375
Bentleigh,2 bedroom house,2016,420
Brighton,2 bedroom house,2016,490
Brighton East,2 bedroom house,2016,500
Carnegie,2 bedroom house,2016,450
Caulfield,2 bedroom house,2016,465
Cheltenham,2 bedroom house,2016,415
Elsternwick,2 bedroom house,2016,525
Hampton-Beaumaris,2 bedroom house,2016,485
Malvern,2 bedroom house,2016,583
Malvern East,2 bedroom house,2016,450
Mentone-Parkdale-Mordialloc,2 bedroom house,2016,428
Murrumbeena-Hughesdale,2 bedroom house,2016,420
Group Total,2 bedroom house,2016,440
Altona,2 bedroom house,2016,330
Footscray,2 bedroom house,2016,400
Keilor East-Avondale Heights,2 bedroom house,2016,360
Melton,2 bedroom house,2016,265
Newport-Spotswood,2 bedroom house,2016,423
St Albans-Deer Park,2 bedroom house,2016,290
Sunshine,2 bedroom house,2016,297
Sydenham,2 bedroom house,2016,330
Werribee-Hoppers Crossing,2 bedroom house,2016,290
West Footscray,2 bedroom house,2016,340
Williamstown,2 bedroom house,2016,460
Yarraville-Seddon,2 bedroom house,2016,450
Group Total,2 bedroom house,2016,350
Broadmeadows-Roxburgh Park,2 bedroom house,2016,293
Brunswick,2 bedroom house,2016,480
Coburg-Pascoe Vale South,2 bedroom house,2016,400
Craigieburn,2 bedroom house,2016,310
East Brunswick,2 bedroom house,2016,500
Essendon,2 bedroom house,2016,370
Gladstone Park-Tullamarine,2 bedroom house,2016,-
Keilor,2 bedroom house,2016,-
Moonee Ponds-Ascot Vale,2 bedroom house,2016,450
Oak Park-Glenroy-Fawkner,2 bedroom house,2016,330
Pascoe Vale-Coburg North,2 bedroom house,2016,363
Sunbury,2 bedroom house,2016,303
West Brunswick,2 bedroom house,2016,445
Group Total,2 bedroom house,2016,395
Bundoora-Greensborough-Hurstbridge,2 bedroom house,2016,330
Eltham-Research-Montmorency,2 bedroom house,2016,350
Fairfield-Alphington,2 bedroom house,2016,460
Heidelberg-Heidelberg West,2 bedroom house,2016,330
Ivanhoe-Ivanhoe East,2 bedroom house,2016,415
Mill Park-Epping,2 bedroom house,2016,315
Northcote,2 bedroom house,2016,518
Preston,2 bedroom house,2016,400
Reservoir,2 bedroom house,2016,330
Thomastown-Lalor,2 bedroom house,2016,310
Thornbury,2 bedroom house,2016,485
Whittlesea,2 bedroom house,2016,295
Group Total,2 bedroom house,2016,350
Bayswater,2 bedroom house,2016,328
Boronia,2 bedroom house,2016,330
Croydon-Lilydale,2 bedroom house,2016,330
Ferntree Gully,2 bedroom house,2016,335
Ringwood,2 bedroom house,2016,350
Rowville,2 bedroom house,2016,-
Wantirna-Scoresby,2 bedroom house,2016,350
Yarra Ranges,2 bedroom house,2016,300
Group Total,2 bedroom house,2016,330
Berwick,2 bedroom house,2016,328
Cranbourne,2 bedroom house,2016,300
Dandenong,2 bedroom house,2016,320
Dandenong North-Endeavour Hills,2 bedroom house,2016,290
Narre Warren-Hampton Park,2 bedroom house,2016,320
Noble Park,2 bedroom house,2016,320
Pakenham,2 bedroom house,2016,300
Springvale,2 bedroom house,2016,320
Group Total,2 bedroom house,2016,307
Dromana-Portsea,2 bedroom house,2016,285
Frankston,2 bedroom house,2016,305
Hastings-Flinders,2 bedroom house,2016,305
Mt Eliza-Mornington-Mt Martha,2 bedroom house,2016,353
Seaford-Carrum Downs,2 bedroom house,2016,310
Group Total,2 bedroom house,2016,300
Belmont-Grovedale,2 bedroom house,2016,300
Corio,2 bedroom house,2016,230
Geelong-Newcombe,2 bedroom house,2016,300
Herne Hill-Geelong West,2 bedroom house,2016,300
Lara,2 bedroom house,2016,290
Newtown,2 bedroom house,2016,328
North Geelong,2 bedroom house,2016,280
Group Total,2 bedroom house,2016,285
Ballarat,2 bedroom house,2016,250
Mount Clear-Buninyong,2 bedroom house,2016,258
Sebastopol-Delacombe,2 bedroom house,2016,240
Wendouree-Alfredton,2 bedroom house,2016,245
Group Total,2 bedroom house,2016,245
Bendigo,2 bedroom house,2016,260
Flora Hill-Bendigo East,2 bedroom house,2016,255
Golden Square-Kangaroo Flat,2 bedroom house,2016,243
North Bendigo,2 bedroom house,2016,240
Group Total,2 bedroom house,2016,250
Bairnsdale,2 bedroom house,2016,240
Benalla,2 bedroom house,2016,220
Castlemaine,2 bedroom house,2016,288
Echuca,2 bedroom house,2016,270
Hamilton,2 bedroom house,2016,210
