id,address,suburb,postcode,price,propertyType,bedrooms,bathrooms,parkingSpaces,studies,furnished,latitude,longitude,closest_primary_lat,closest_primary_long,closest_secondary_lat,closest_secondary_long,closest_train_lat,closest_train_long,closest_tram_lat,closest_tram_long,closest_bus_lat,closest_bus_long,closest_park_lat,closest_park_long
434980611,5/20 Adam Street,Richmond,3121,400,Apartment,2,1,1,0,N,-37.828759,145.007691,-37.82957,144.99907,-37.82251,145.01433,-37.82756,145.007555,-37.826791,145.00736,-37.834738,145.004646,-37.83096796,145.0029147
434980227,4/81 Abinger Street,Richmond,3121,800,Townhouse,2,2,1,1,N,-37.82056833,145.0047082,-37.81585,145.00824,-37.81741,145.0028,-37.82756,145.007555,-37.819083,145.003977,-37.834053,145.000381,-37.83096796,145.0029147
435079607,14/8 Hull Street,Richmond,3121,525,Apartment,2,1,1,0,N,-37.81734622,144.9964603,-37.81363,144.99574,-37.83731,144.96665,-37.814949,144.991423,-37.818219,144.996639,-37.817298,144.990178,-37.80745804,145.00663
435079463,12 Berry Street,Richmond,3121,490,House,2,1,1,0,N,-37.8193,144.997801,-37.81363,144.99574,-37.83731,144.96665,-37.8264,144.997066,-37.818472,144.998791,-37.817298,144.990178,-37.83096796,145.0029147
434976395,3/77 Edinburgh Street,Richmond,3121,725,Townhouse,3,1,1,0,N,-37.82563262,145.0057729,-37.82957,144.99907,-37.83731,144.96665,-37.82756,145.007555,-37.826392,145.00511,-37.834738,145.004646,-37.83096796,145.0029147
435077323,54A Clifton Street,Richmond,3121,700,House,2,1,1,0,N,-37.82474,144.995529,-37.82957,144.99907,-37.83731,144.96665,-37.8264,144.997066,-37.82538,144.9959,-37.824442,144.989007,-37.83096796,145.0029147
435073599,78 Laity Street,Richmond,3121,700,House,2,1,1,0,N,-37.81367305,145.0039238,-37.81464,145.00748,-37.81648,145.00226,-37.810398,144.9925,-37.810976,145.00423,-37.80187,145.007189,-37.80745804,145.00663
435072467,606/30 Burnley Street,Richmond,3121,425,Apartment,1,1,1,0,N,-37.81266197,145.0093524,-37.81464,145.00748,-37.81648,145.00226,-37.82756,145.007555,-37.811509,145.010122,-37.803747,145.01158,-37.80745804,145.00663
435072007,1/7 Jika Place,Richmond,3121,550,Townhouse,2,1,0,0,N,-37.81476711,144.9912952,-37.81363,144.99574,-37.83731,144.96665,-37.814949,144.991423,-37.817533,144.990217,-37.815186,144.990519,-37.80745804,145.00663
404650458,14/361 Church Street,Richmond,3121,350,Apartment,1,1,1,0,N,-37.82343,144.998549,-37.82957,144.99907,-37.83731,144.96665,-37.8264,144.997066,-37.823727,144.998354,-37.821125,144.989506,-37.83096796,145.0029147
