SA2 code,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
201011001,11852.0,12639.0,13520.0,14408.0,15472.0,16823.0,17817.2,18811.4,19805.600000000002,20799.800000000003
201011002,12301.0,12261.0,12237.0,12311.0,12183.0,12076.0,12031.0,11986.0,11941.0,11896.0
201011005,7311.0,7407.0,7413.0,7452.0,7369.0,7232.0,7216.2,7200.4,7184.599999999999,7168.799999999999
201011006,7195.0,7617.0,8174.0,8876.0,9736.0,10640.0,11329.0,12018.0,12707.0,13396.0
201011007,3990.0,4002.0,4040.0,4109.0,4148.0,4213.0,4257.6,4302.200000000001,4346.800000000001,4391.4000000000015
201011008,14826.0,14933.0,15056.0,15160.0,15242.0,15314.0,15411.6,15509.2,15606.800000000001,15704.400000000001
201011481,9321.0,9462.0,9530.0,9623.0,9639.0,9656.0,9725.523200000001,9778.301285760002,9921.064484532099,10087.738367872236
201011482,14218.0,14374.0,14501.0,14612.0,14660.0,14692.0,14797.782400000002,14871.863974400003,15088.993188426242,15342.488273991803
201011483,11505.0,11759.0,11994.0,12128.0,12179.0,12207.0,12294.890400000002,12355.008959360002,12535.392090166657,12745.986677281457
201011484,13149.0,13224.0,13271.0,13278.0,13216.0,13062.0,13044.6,13027.2,13009.800000000001,12992.400000000001
201021009,5982.0,6093.0,6217.0,6344.0,6457.0,6533.0,6643.2,6753.4,6863.599999999999,6973.799999999999
201021010,7870.0,7910.0,7954.0,7981.0,8016.0,8036.0,8069.2,8102.4,8135.599999999999,8168.799999999999
201021011,9117.0,9238.0,9380.0,9536.0,9713.0,9870.0,10020.6,10171.2,10321.800000000001,10472.400000000001
201021012,5761.0,5866.0,5990.0,6114.0,6236.0,6337.0,6452.2,6567.4,6682.599999999999,6797.799999999999
201031013,3323.0,3349.0,3389.0,3417.0,3440.0,3498.0,3533.0,3568.0,3603.0,3638.0
201031014,4454.0,4483.0,4444.0,4536.0,4598.0,4618.0,4651.2496,4664.449560320001,4732.550523900673,4812.057372702205
201031015,4540.0,4609.0,4688.0,4778.0,4824.0,4868.0,4933.6,4999.200000000001,5064.800000000001,5130.4000000000015
201031016,8001.0,8057.0,8132.0,8146.0,8115.0,8116.0,8139.0,8162.0,8185.0,8208.0
201031017,5278.0,5342.0,5392.0,5394.0,5373.0,5475.0,5514.4,5553.799999999999,5593.199999999999,5632.5999999999985
202011018,14770.0,14836.0,14927.0,15055.0,15063.0,14951.0,14987.2,15023.400000000001,15059.600000000002,15095.800000000003
202011019,12130.0,12295.0,12454.0,12613.0,12775.0,12923.0,13081.6,13240.2,13398.800000000001,13557.400000000001
202011020,13750.0,13801.0,13825.0,13881.0,13785.0,13925.0,13960.0,13995.0,14030.0,14065.0
202011021,9493.0,9501.0,9518.0,9538.0,9562.0,9420.0,9405.4,9390.8,9376.199999999999,9361.599999999999
202011022,19947.0,20180.0,20422.0,20690.0,20900.0,21060.0,21282.6,21505.199999999997,21727.799999999996,21950.399999999994
202011023,5155.0,5248.0,5317.0,5358.0,5455.0,5500.0,5569.0,5638.0,5707.0,5776.0
202011024,8775.0,9120.0,9475.0,9889.0,10296.0,10676.0,11056.2,11436.400000000001,11816.600000000002,12196.800000000003
202011025,11914.0,12471.0,12983.0,13561.0,14014.0,14444.0,14950.0,15456.0,15962.0,16468.0
202021026,7346.0,7576.0,7789.0,7915.0,8143.0,8306.0,8498.0,8690.0,8882.0,9074.0
202021027,10770.0,10882.0,11004.0,11131.0,11257.0,11285.0,11366.252,11419.684362880003,11586.41175457805,11781.06347205496
202021028,8621.0,8695.0,8774.0,8848.0,8960.0,9145.0,9249.8,9354.599999999999,9459.399999999998,9564.199999999997
