id,address,suburb,postcode,price,propertyType,bedrooms,bathrooms,parkingSpaces,studies,furnished,latitude,longitude,min_pri_longitude,min_pri_latitude,min_pri_icsea,min_sec_longitude,min_sec_latitude,min_sec_icsea,min_train_longitude,min_train_latitude,min_tram_longitude,min_tram_latitude,min_bus_longitude,min_bus_latitude,min_park_longitude,min_park_latitude
435045151,2109/33 MacKenzie St,Melbourne,3000,560,Apartment,2,1,0,0,N,-37.80768181,144.96683064,144.96951,-37.80205,1140.0,144.95538,-37.79698,1127.0,144.962594,-37.809939,144.966098,-37.808909,144.965637,-37.807495,144.96867888782603,-37.797682250586114
435045047,2108/11 Rose Lane,Melbourne,3000,580,Apartment,2,1,0,0,Y,-37.81545214,144.95408105,144.94055,-37.81271,1114.0,144.96477,-37.82823,1138.0,144.951411,-37.817936,144.952381,-37.815313,144.955124,-37.814288,144.96929557735743,-37.81878616702655
435144851,3210/9-23 Mackenzie Street,Melbourne,3000,450,Apartment,1,1,0,0,N,-37.80753655,144.96732789,144.96951,-37.80205,1140.0,144.95538,-37.79698,1127.0,144.962594,-37.809939,144.968537,-37.808185,144.968752,-37.806954,144.96867888782603,-37.797682250586114
435144711,300/668 Bourke Street,Melbourne,3000,550,Apartment,2,2,1,0,N,-37.8166019,144.95420038,144.94055,-37.81271,1114.0,144.96477,-37.82823,1138.0,144.951411,-37.817936,144.953997,-37.816846,144.952077,-37.814821,144.96929557735743,-37.81878616702655
435044255,2108/11 Rose Lane,Melbourne,3000,600,Apartment,2,1,0,0,Y,-37.81545214,144.95408105,144.94055,-37.81271,1114.0,144.96477,-37.82823,1138.0,144.951411,-37.817936,144.952381,-37.815313,144.955124,-37.814288,144.96929557735743,-37.81878616702655
435044235,4701/38 Rose Lane,Melbourne,3000,650,Apartment,2,2,1,0,N,-37.81501255,144.95417288,144.94055,-37.81271,1114.0,144.96477,-37.82823,1138.0,144.955654,-37.811981,144.952381,-37.815313,144.955124,-37.814288,144.96929557735743,-37.81878616702655
434939691,1404/7 Katherine Place,Melbourne,3000,465,Apartment,1,1,0,0,Y,-37.82042051,144.95649006,144.9535,-37.82935,1108.0,144.96477,-37.82823,1138.0,144.951411,-37.817936,144.955853,-37.820834,144.953509,-37.819325,144.96929557735743,-37.81878616702655
435043387,2806/27 Lt Collins Street,Melbourne,3000,500,Apartment,1,1,0,0,N,-37.81275115,144.97255381,144.96951,-37.80205,1140.0,144.96477,-37.82823,1138.0,144.972911,-37.811054,144.973285,-37.813557,144.971323,-37.80972,144.96929557735743,-37.81878616702655
435143123,18/300 King Street,Melbourne,3000,590,Apartment,2,1,0,0,Y,-37.81317958,144.95452919,144.94055,-37.81271,1114.0,144.95538,-37.79698,1127.0,144.955654,-37.811981,144.953732,-37.81248,144.955297,-37.814201,144.96929557735743,-37.81878616702655
435142791,109/441 Lonsdale Street,Melbourne,3000,360,Apartment,2,1,0,0,Y,-37.81334514,144.95937885,144.96951,-37.80205,1140.0,144.96477,-37.82823,1138.0,144.955654,-37.811981,144.960054,-37.815122,144.959219,-37.813269,144.96929557735743,-37.81878616702655
