,id,address,suburb,postcode,price,propertyType,bedrooms,bathrooms,parkingSpaces,studies,furnished,latitude,longitude,min_pri_distance,min_sec_distance,min_other_distance
0,435045151,2109/33 MacKenzie St,Melbourne,3000,560,Apartment,2,1,0,0,N,-37.80768181,144.96683064,0.006236686130123643,0.00536598137209549,0.012002155834918126
1,435045047,2108/11 Rose Lane,Melbourne,3000,580,Apartment,2,1,0,0,Y,-37.81545214,144.95408105,0.013806109005885355,0.0025844629001136703,0.0023375186591960556
2,435144851,3210/9-23 Mackenzie Street,Melbourne,3000,450,Apartment,1,1,0,0,N,-37.80753655,144.96732789,0.005904560521718402,0.005145303388002087,0.012460828566129019
3,435144711,300/668 Bourke Street,Melbourne,3000,550,Apartment,2,2,1,0,N,-37.8166019,144.95420038,0.01276732492554004,0.00371839139338379,0.0019506024080829026
4,435044255,2108/11 Rose Lane,Melbourne,3000,600,Apartment,2,1,0,0,Y,-37.81545214,144.95408105,0.013806109005885355,0.0025844629001136703,0.0023375186591960556
5,435044235,4701/38 Rose Lane,Melbourne,3000,650,Apartment,2,2,1,0,N,-37.81501255,144.95417288,0.013816099159910823,0.0021368871745807237,0.0024984209006882873
8,434939691,1404/7 Katherine Place,Melbourne,3000,465,Apartment,1,1,0,0,Y,-37.82042051,144.95649006,0.013987074691733069,0.00030948187749512573,0.003730877595494654
9,435043387,2806/27 Lt Collins Street,Melbourne,3000,500,Apartment,1,1,0,0,N,-37.81275115,144.97255381,0.015173015123641855,0.004979693338166819,0.004542312488380756
10,435143123,18/300 King Street,Melbourne,3000,590,Apartment,2,1,0,0,Y,-37.81317958,144.95452919,0.012917583539306875,0.00671806006927183,0.0068093959566400105
11,435142791,109/441 Lonsdale Street,Melbourne,3000,360,Apartment,2,1,0,0,Y,-37.81334514,144.95937885,0.012849706968071641,0.00301119663342812,0.0032209831985302246
12,435142691,2401/371 Little Lonsdale Street,Melbourne,3000,500,Apartment,1,1,0,0,N,-37.81181276,144.96105113,0.010803595911176673,0.007776342290017947,0.00646241049542009
13,435142687,3902/220 Spencer Street,Melbourne,3000,650,Apartment,2,2,1,0,Y,-37.81558374,144.95307424,0.008184666328696655,0.008648952983571555,0.004937446173081038
14,435042619,2504/442 Elizabeth Street,Melbourne,3000,600,Apartment,2,1,0,0,N,-37.80834504,144.9607299,0.0077893551160912065,0.00435321128876746,0.012424541678624328
15,435142623,924/555 Flinders Street,Melbourne,3000,480,Apartment,1,1,0,0,Y,-37.82145164,144.95564585,0.012789156459027277,0.006584338321565656,0.006919978203203845
16,435142451,5206/318 Russell,Melbourne,3000,750,Apartment,2,2,0,0,Y,-37.80935157,144.96679686,0.014368818286831137,0.004859319289785625,0.014195505174510759
17,435142419,1107/5 Sutherland Street,Melbourne,3000,450,Apartment,1,1,0,0,N,-37.81145799,144.96084673,0.01096937788739038,0.007671250200320772,0.007095525127553067
18,435142407,42/140 Flinders Street,Melbourne,3000,400,Apartment,1,1,0,0,N,-37.81639455,144.97034476,0.010456148695688155,0.00829055324729604,0.008678388142141353
19,435042283,4413/80 A'beckett Street,Melbourne,3000,410,Apartment,1,1,0,0,N,-37.80903594,144.96105282,0.013448456128361175,0.005141892106617567,0.006141923919747917
20,431384710,3716/228 La Trobe Street,Melbourne,3000,800,Apartment,2,2,1,0,N,-37.80977208,144.96246014,0.010803595911176673,0.007776342290017947,0.00646241049542009
21,435041839,1910/157 Abeckett Street,Melbourne,3000,530,Apartment,1,1,0,0,N,-37.81012056,144.95875235,0.010375272622938836,0.008301856394803542,0.007527690774713721
22,435141923,5403/442 Elizabeth Street,Melbourne,3000,600,Apartment,1,1,0,0,N,-37.80834504,144.9607299,0.011058104438105641,0.005677124709214204,0.0020449751499669174
